team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;609;248;41;320;6.93
Napoli;706;315;36;355;6.91
Atalanta;641;210;58;373;6.90
AS Roma;622;216;37;369;6.86
Torino;519;220;30;269;6.83
AC Milan;586;279;30;277;6.82
Inter;634;241;40;353;6.82
Lazione;612;243;35;334;6.80
Sampdoria;487;224;22;241;6.74
Fiorentina;585;244;31;310;6.71
Udinese;464;234;26;204;6.68
Bologna;500;210;40;250;6.67
Sassuolo;513;252;35;226;6.66
Genoa;533;236;32;265;6.64
Spal;462;180;27;255;6.64
Cagliari;436;168;38;230;6.62
Empoli;457;157;41;259;6.60
Parma;355;149;40;166;6.59
Frosinone;455;193;29;233;6.51
Chievo;391;181;26;184;6.48
