team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;599;286;40;273;7.07
Napoli;656;291;32;333;6.97
AS Roma;582;239;23;320;6.94
Fiorentina;575;313;32;230;6.87
AC Milan;548;257;31;260;6.86
Genoa;469;211;28;230;6.86
Inter;516;240;35;241;6.85
Sassuolo;487;241;25;221;6.81
Lazio;516;229;35;252;6.79
Atalanta;454;208;21;225;6.76
Chievo;425;192;32;201;6.76
Empoli;480;259;16;205;6.75
Torino;470;197;25;248;6.75
Bologna;385;194;16;175;6.73
Sampdoria;432;213;17;202;6.71
Carpi;430;176;23;231;6.71
Udinese;444;172;38;234;6.68
Palermo;411;187;34;190;6.67
Verona;454;184;32;238;6.61
Frosinone;488;262;17;209;6.60
