,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
46,46,608523,2857,2020-10-25T16:00:00+00:00,1603641600,5,Not Started,NS,502,Fiorentina,494,Udinese,,,TBD
47,47,608525,2857,2020-10-25T18:45:00+00:00,1603651500,5,Not Started,NS,496,Juventus,504,Verona,,,TBD
48,48,608527,2857,2020-10-26T18:45:00+00:00,1603737900,5,Not Started,NS,489,AC Milan,497,AS Roma,,,TBD
49,49,608531,2857,2020-10-31T14:00:00+00:00,1604152800,6,Not Started,NS,501,Crotone,499,Atalanta,,,TBD
50,50,608532,2857,2020-10-31T17:00:00+00:00,1604163600,6,Not Started,NS,505,Inter,523,Parma,,,TBD
51,51,608530,2857,2020-10-31T19:45:00+00:00,1604173500,6,Not Started,NS,500,Bologna,490,Cagliari,,,TBD
52,52,608538,2857,2020-11-01T11:30:00+00:00,1604230200,6,Not Started,NS,494,Udinese,489,AC Milan,,,TBD
53,53,608536,2857,2020-11-01T14:00:00+00:00,1604239200,6,Not Started,NS,515,Spezia,496,Juventus,,,TBD
54,54,608537,2857,2020-11-01T14:00:00+00:00,1604239200,6,Not Started,NS,503,Torino,487,Lazio,,,TBD
55,55,608533,2857,2020-11-01T17:00:00+00:00,1604250000,6,Not Started,NS,492,Napoli,488,Sassuolo,,,TBD
56,56,608534,2857,2020-11-01T17:00:00+00:00,1604250000,6,Not Started,NS,497,AS Roma,502,Fiorentina,,,TBD
57,57,608535,2857,2020-11-01T19:45:00+00:00,1604259900,6,Not Started,NS,498,Sampdoria,495,Genoa,,,TBD
58,58,608539,2857,2020-11-02T19:45:00+00:00,1604346300,6,Not Started,NS,504,Verona,506,Benevento,,,TBD
59,59,608503,2857,2020-11-04T16:00:00+00:00,1604505600,3,Not Started,NS,495,Genoa,503,Torino,,,TBD
60,60,608595,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,499,Atalanta,505,Inter,,,TBD
61,61,608596,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,506,Benevento,515,Spezia,,,TBD
62,62,608597,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,500,Bologna,492,Napoli,,,TBD
63,63,608598,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,490,Cagliari,498,Sampdoria,,,TBD
64,64,608599,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,495,Genoa,497,AS Roma,,,TBD
65,65,608600,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,487,Lazio,496,Juventus,,,TBD
66,66,608601,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,489,AC Milan,504,Verona,,,TBD
67,67,608602,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,523,Parma,502,Fiorentina,,,TBD
68,68,608603,2857,2020-11-08T00:00:00+00:00,1604793600,7,Time to be defined,TBD,488,Sassuolo,494,Udinese,,,TBD
