team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;554;254;34;266;7.05
AS Roma;643;263;50;330;6.96
Lazione;553;220;40;293;6.95
Napoli;656;281;44;331;6.94
Inter;572;222;43;307;6.92
Atalanta;579;197;46;336;6.88
Fiorentina;619;281;21;317;6.82
Torino ;451;184;33;234;6.80
AC Milan;610;297;47;266;6.76
Sampdoria;482;197;40;245;6.70
Udinese;442;190;23;229;6.65
Spal;374;170;30;174;6.64
Bologna;359;158;31;170;6.64
Genoa;418;147;27;244;6.64
Crotone;381;174;26;181;6.61
Chievo;391;160;19;212;6.61
Sassuolo;499;215;32;252;6.60
Cagliari;381;144;27;210;6.59
Verona;361;177;15;169;6.55
Benevento;472;229;25;218;6.49
