,team_name,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38
16,Juventus,3,6,9,12,15,18,19,19,22,25,28,31,31,34,37,38,41,44,47,50,53,56,59,62,65,68,71,74,75,78,81,84,85,85,88,91,92,95
18,Napoli,3,6,9,12,15,18,21,24,25,28,31,32,35,38,38,39,42,45,48,51,54,57,60,63,66,69,69,70,73,74,77,78,81,84,84,85,88,91
2,AS Roma,3,3,4,7,10,13,16,16,19,22,25,28,31,32,35,36,39,39,40,40,41,41,44,47,50,50,53,56,59,60,60,61,64,67,70,73,74,77
10,Lazio,1,4,7,10,10,13,16,19,22,25,28,31,31,32,35,35,36,39,40,43,46,46,46,46,49,52,52,53,54,57,60,61,64,67,70,71,72,72
4,Inter,3,6,9,12,13,16,19,22,23,26,29,30,33,36,39,40,40,40,41,42,43,44,45,48,48,51,52,53,56,59,59,60,63,66,66,69,69,72
14,AC Milan,3,6,6,9,12,12,12,12,13,16,16,19,19,20,21,24,24,24,25,28,31,34,35,38,41,44,45,48,51,51,52,53,54,54,57,60,61,64
17,Atalanta,0,0,3,4,7,8,9,9,12,15,15,16,16,19,20,23,24,27,27,30,30,33,36,37,38,38,38,41,44,47,48,49,52,55,58,59,60,60
7,Fiorentina,0,0,3,6,6,7,7,10,13,16,16,16,17,18,21,22,23,26,27,28,28,28,31,31,32,35,38,41,44,47,50,51,51,51,54,57,57,57
5,Torino,1,4,7,8,11,11,12,13,13,13,16,17,18,19,20,23,23,24,25,28,29,32,33,36,36,36,39,39,39,42,45,46,47,47,47,48,51,54
11,Sampdoria,3,6,7,8,9,12,12,15,18,18,21,24,27,27,27,28,28,28,31,31,34,37,38,41,41,44,47,47,47,47,48,48,51,51,54,54,54,54
3,Sassuolo,1,1,1,1,4,4,4,5,8,8,8,8,11,11,11,14,17,20,21,21,22,22,22,23,23,23,24,25,28,29,30,31,34,37,37,40,43,43
6,Genoa,1,1,1,1,2,2,2,5,6,6,6,6,9,10,13,13,14,17,18,21,21,21,24,27,30,30,33,33,33,34,35,38,38,41,41,41,41,41
9,Udinese,0,0,3,3,3,3,6,6,6,9,12,12,12,12,15,18,21,24,27,28,29,32,33,33,33,33,33,33,33,33,33,33,33,33,34,34,37,40
12,Chievo,3,3,3,4,5,8,11,12,15,15,15,16,17,20,20,21,21,21,21,22,22,22,22,22,25,25,26,26,26,29,29,30,31,31,31,34,37,40
8,Cagliari,0,0,3,6,6,6,6,6,6,9,9,12,15,15,16,17,17,17,20,20,20,21,24,25,25,25,25,26,29,29,29,32,32,33,33,33,36,39
15,Bologna,1,4,4,4,5,8,11,14,14,14,14,14,17,20,21,21,21,24,24,24,27,27,27,27,30,33,33,33,34,35,35,38,38,39,39,39,39,39
19,Spal,1,4,4,4,4,4,5,5,5,5,8,9,10,10,10,11,14,15,15,15,16,17,17,17,17,20,23,24,25,26,27,28,29,29,32,35,35,38
1,Crotone,0,1,1,1,1,4,5,6,6,6,9,12,12,12,12,12,15,15,15,15,18,19,20,21,21,21,21,24,24,24,27,27,28,31,34,34,35,35
0,Verona,0,1,1,1,2,2,3,6,6,6,6,6,6,9,9,10,13,13,13,13,13,16,16,16,16,19,19,22,22,22,25,25,25,25,25,25,25,25
13,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,7,7,7,7,7,10,10,13,13,13,13,13,14,14,17,18,18,21,21
