Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goals tot,Assists tot,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammonizioni,Espulsioni,Autogoal
2392,C,WALACE,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,A,RIBERY,Fiorentina,2,6.75,7.75,0,2,0,0,0,0,0,0,2,0,0,0,0
2414,C,VIDAL,Inter,3,6.33,6.17,0,0,0,0,0,0,0,0,0,0,1,0,0
2468,P,OSPINA,Napoli,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,C,RAMSEY,Juventus,2,6.5,7.0,0,1,0,0,0,0,0,0,1,0,0,0,0
2475,A,SANCHEZ,Inter,3,6.75,7.75,0,2,0,0,0,0,0,0,2,0,0,0,0
2489,A,PEDRO,Roma,3,6.5,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0
2525,D,DARMIAN,Inter,3,6.0,5.83,0,0,0,0,0,0,0,0,0,0,1,0,0
2529,C,MKHITARYAN,Roma,3,5.83,6.17,0,1,0,0,0,0,0,0,1,0,0,0,0
2530,A,IBRAHIMOVIC,Milan,1,7.5,13.5,2,0,1,0,0,1,1,0,0,0,0,0,0
2531,A,LUKAKU,Inter,3,6.67,9.5,3,0,3,0,0,0,0,0,0,0,1,0,0
2556,C,ERIKSEN,Inter,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2572,D,GODIN,Cagliari,1,5.0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0
2610,A,RONALDO,Juventus,2,7.0,11.5,3,0,2,0,0,1,1,0,0,0,0,0,0
2625,C,SORIANO,Bologna,3,6.67,9.0,2,1,2,0,0,0,0,0,1,0,0,0,0
2633,D,KJAER,Milan,3,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2639,C,BAKAYOKO,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2653,D,LYKOGIANNIS,Cagliari,3,5.33,5.67,0,1,0,0,0,0,0,0,1,0,0,0,0
2659,C,DABO,Benevento,3,6.0,5.83,0,0,0,0,0,0,0,0,0,0,1,0,0
2664,D,EL YAMIQ,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692,C,CASTILLEJO,Milan,2,5.5,5.25,0,0,0,0,0,0,0,0,0,0,1,0,0
2703,C,ADRIEN SILVA,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2707,D,YOUNG,Inter,3,5.83,6.0,0,1,0,0,0,0,0,0,1,0,1,0,0
2719,A,BARROW,Bologna,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0
2722,P,RAVAGLIA F.,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2724,D,BUONGIORNO,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2725,C,CALIGARA,Cagliari,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0
2726,C,DANZI,Verona,1,5.5,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
2728,D,PELLEGRINI LU.,Genoa,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2739,D,RECA,Crotone,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2741,C,PESSINA,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2743,A,SANTANDER,Bologna,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2744,C,SVANBERG,Bologna,2,6.5,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0
2745,D,CALABRESI,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2746,D,DIJKS,Bologna,1,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0
2747,D,PAZ,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2758,D,GUNTER,Verona,3,6.33,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0
2759,D,CRISCITO,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2762,A,KOUAME',Fiorentina,3,5.5,6.5,1,0,1,0,0,0,0,0,0,0,0,0,0
2764,A,MARTINEZ L.,Inter,3,7.17,10.17,3,0,3,0,0,0,0,0,0,0,0,0,0
2766,C,ZANIOLO,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2769,D,MAGNANI,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2770,P,PROTO,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2773,A,SPROCATI,Parma,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2775,C,RUIZ,Napoli,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2776,A,YOUNES,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2779,C,KLUIVERT,Roma,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
