,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,506,Benevento,3,2,0,1,6,7,2.0,2.3
1,505,Inter,3,2,1,0,10,6,3.3,2.0
2,502,Fiorentina,3,1,0,2,5,6,1.7,2.0
3,503,Torino,2,0,0,2,2,5,1.0,2.5
4,495,Genoa,2,1,0,1,4,7,2.0,3.5
5,501,Crotone,3,0,0,3,2,10,0.7,3.3
6,496,Juventus,2,1,1,0,5,2,2.5,1.0
7,498,Sampdoria,3,1,0,2,4,7,1.3,2.3
8,487,Lazio,3,1,1,1,4,5,1.3,1.7
9,499,Atalanta,3,3,0,0,13,5,4.3,1.7
10,489,AC Milan,3,3,0,0,7,0,2.3,0.0
11,500,Bologna,3,1,0,2,4,4,1.3,1.3
12,523,Parma,3,1,0,2,2,6,0.7,2.0
13,492,Napoli,2,2,0,0,8,0,4.0,0.0
14,488,Sassuolo,3,2,1,0,9,3,3.0,1.0
15,490,Cagliari,3,0,1,2,3,8,1.0,2.7
16,494,Udinese,3,0,0,3,0,4,0.0,1.3
17,515,Spezia,3,1,0,2,3,7,1.0,2.3
18,504,Verona,3,2,0,1,4,1,1.3,0.3
19,497,AS Roma,3,1,1,1,3,5,1.0,1.7
