,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,1583,Robur Siena,38,11,11,16,45,45,1.2,1.2
1,502,Fiorentina,38,11,13,14,37,43,1.0,1.1
2,490,Cagliari,38,10,13,15,37,46,1.0,1.2
3,489,AC Milan,38,24,8,6,74,33,1.9,0.9
4,494,Udinese,38,18,10,10,52,35,1.4,0.9
5,496,Juventus,38,23,15,0,68,20,1.8,0.5
6,499,Atalanta,38,13,13,12,41,43,1.1,1.1
7,509,Cesena,38,4,10,24,24,60,0.6,1.6
8,500,Bologna,38,13,12,13,41,43,1.1,1.1
9,497,AS Roma,38,16,8,14,60,54,1.6,1.4
10,505,Inter,38,17,7,14,58,55,1.5,1.4
11,867,Lecce,38,8,12,18,40,56,1.1,1.5
12,487,Lazio,38,18,8,12,56,47,1.5,1.2
13,491,Chievo,38,12,13,13,35,45,0.9,1.2
14,492,Napoli,38,16,13,9,66,46,1.7,1.2
15,495,Genoa,38,11,9,18,50,69,1.3,1.8
16,513,Novara,38,7,11,20,35,65,0.9,1.7
17,522,Palermo,38,11,10,17,52,62,1.4,1.6
18,523,Parma,38,15,11,12,54,53,1.4,1.4
19,1580,Catania,38,11,15,12,47,52,1.2,1.4
