,team_name,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38
17,Juventus,3,6,9,12,13,16,19,22,25,28,28,31,32,32,35,38,41,44,44,45,48,49,52,55,55,58,59,62,65,68,71,74,77,80,83,86,87,87
19,Napoli,3,6,9,10,13,16,19,19,22,22,23,26,27,30,33,33,33,36,39,42,43,46,49,50,51,52,53,53,56,59,62,63,66,69,72,75,78,78
15,AC Milan,0,3,3,3,6,7,7,7,10,11,14,14,15,18,21,24,27,27,30,31,34,37,40,41,44,45,48,51,54,57,58,59,59,62,65,68,69,72
5,Fiorentina,3,3,6,7,8,8,11,12,15,18,21,24,27,28,29,29,32,35,35,35,36,36,39,39,42,42,45,48,51,51,52,55,58,61,61,64,67,70
9,Udinese,0,0,1,4,5,6,6,9,12,13,14,15,16,16,19,22,23,24,27,30,30,33,33,36,36,37,40,41,41,42,45,48,51,54,57,60,63,66
0,AS Roma,1,4,4,7,8,8,11,14,14,14,17,17,20,23,26,29,29,32,32,32,33,34,34,34,37,40,43,44,47,47,48,51,52,55,58,58,59,62
11,Lazio,3,6,9,9,9,12,15,18,18,19,19,22,23,26,29,30,33,36,39,42,43,43,43,44,44,47,47,47,47,50,51,51,51,52,55,58,61,61
7,Catania,1,4,4,5,8,8,11,11,11,12,15,16,19,19,19,22,25,25,26,29,32,35,35,36,39,42,42,42,45,45,46,47,48,48,51,52,55,56
1,Inter,3,3,6,6,9,12,15,18,21,24,27,27,28,28,31,34,34,35,35,38,39,40,40,43,43,44,47,47,50,50,50,50,53,53,53,53,54,54
6,Parma,0,3,3,4,5,6,6,9,12,15,15,16,17,20,20,20,23,26,29,30,31,31,31,32,32,32,32,35,35,38,39,39,39,40,43,46,46,49
8,Cagliari,0,1,2,2,2,2,5,8,11,14,14,15,16,16,16,16,16,16,16,19,20,21,24,25,28,31,31,34,35,38,39,42,42,42,43,43,44,47
14,Chievo,3,3,3,3,3,3,6,7,7,10,10,11,11,12,15,18,21,21,24,24,25,28,28,28,29,29,29,32,35,35,35,36,39,39,40,43,44,45
16,Bologna,0,0,3,4,4,7,7,7,7,7,8,8,11,11,14,15,18,18,18,21,21,22,25,26,26,29,32,35,35,36,37,38,39,40,40,40,43,44
13,Sampdoria,3,6,9,10,11,11,11,11,11,11,11,11,14,17,18,18,18,18,21,22,22,25,26,29,30,33,36,36,36,37,37,38,39,39,39,40,40,43
18,Atalanta,0,1,4,7,7,7,7,10,11,14,17,20,20,20,20,23,23,24,24,24,25,25,28,29,29,29,32,35,35,36,39,39,40,41,41,41,41,42
2,Torino,1,4,4,5,6,9,9,10,10,11,12,15,15,16,16,16,17,20,21,24,27,28,29,29,32,32,33,33,36,36,37,37,37,37,37,38,39,40
3,Genoa,3,3,3,6,7,8,9,9,9,9,9,9,9,12,12,12,13,14,17,17,17,18,21,22,25,26,26,26,26,27,27,28,29,32,35,36,37,38
12,Robur Siena,1,1,2,5,8,8,8,8,9,9,12,13,16,17,17,17,17,17,17,17,20,20,23,24,27,27,27,30,31,32,33,36,36,36,36,36,36,36
10,Palermo,0,0,1,1,1,4,5,6,7,8,8,11,11,14,14,14,15,15,15,15,16,17,17,18,19,20,21,21,21,24,27,28,29,32,32,32,32,32
4,Pescara,0,0,0,1,4,7,7,7,8,8,11,11,11,11,11,14,14,17,20,20,20,20,20,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22
