team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;728;320;6;402;7.15
AC Milan;599;274;5;320;7.06
Udinese;525;250;1;274;7.01
Napoli;526;231;2;293;6.98
Inter;601;315;4;282;6.97
Lazio;502;218;0;284;6.92
AS Roma;621;318;3;300;6.91
Parma;520;246;2;272;6.91
Catania;551;270;3;278;6.90
Bologna;448;237;2;209;6.90
Fiorentina;508;268;2;238;6.90
Cagliari;482;237;8;237;6.90
Chievo;438;188;0;250;6.88
Lecce;432;196;2;234;6.86
Siena;391;174;2;216;6.84
Atalanta;415;178;2;235;6.84
Genoa;436;214;16;207;6.82
Palermo;497;257;4;236;6.81
Novara;472;238;5;230;6.79
Cesena;458;270;1;187;6.74
