team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Juventus;602;273;31;298;7.04
Lazio;551;262;37;252;6.99
Inter;615;303;31;281;6.94
AS Roma;525;257;30;238;6.93
Fiorentina;616;298;37;281;6.92
Napoli;624;286;32;306;6.87
Genoa;489;206;34;249;6.86
Sampdoria;503;248;30;225;6.84
Palermo;479;209;46;224;6.81
Torino;546;242;28;276;6.81
AC Milan;450;212;22;216;6.80
Sassuilo;448;237;21;190;6.77
Chievo;458;231;19;208;6.76
Empoli;516;231;27;258;6.74
Cagliari;495;196;35;264;6.74
Verona;461;179;32;250;6.72
Udinese;426;198;18;210;6.71
Atalanta;461;213;30;218;6.70
Cesena;360;175;19;166;6.61
Parma;418;205;22;191;6.53
