,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,494,Udinese,38,20,6,12,65,43,1.7,1.1
1,495,Genoa,38,14,9,15,45,47,1.2,1.2
2,497,AS Roma,38,18,9,11,59,52,1.6,1.4
3,509,Cesena,38,11,10,17,38,50,1.0,1.3
4,508,Bari,38,5,9,24,27,56,0.7,1.5
5,496,Juventus,38,15,13,10,57,47,1.5,1.2
6,491,Chievo,38,11,13,14,38,40,1.0,1.1
7,1580,Catania,38,12,10,16,40,52,1.1,1.4
8,489,AC Milan,38,24,10,4,65,24,1.7,0.6
9,867,Lecce,38,11,8,19,46,66,1.2,1.7
10,523,Parma,38,11,13,14,39,47,1.0,1.2
11,518,Brescia,38,7,11,20,34,52,0.9,1.4
12,498,Sampdoria,38,8,12,18,33,49,0.9,1.3
13,487,Lazio,38,20,6,12,55,39,1.4,1.0
14,522,Palermo,38,17,5,16,58,63,1.5,1.7
15,490,Cagliari,38,12,9,17,44,51,1.2,1.3
16,502,Fiorentina,38,12,15,11,49,44,1.3,1.2
17,492,Napoli,38,21,7,10,59,39,1.6,1.0
18,500,Bologna,38,11,12,15,35,52,0.9,1.4
19,505,Inter,38,23,7,8,69,42,1.8,1.1
