,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
0,0,28993,94,2018-08-18T16:00:00+00:00,1534608000,1,Match Finished,FT,491,Chievo,496,Juventus,2,3,Juventus
1,1,28995,94,2018-08-18T18:30:00+00:00,1534617000,1,Match Finished,FT,487,Lazio,492,Napoli,1,2,Napoli
2,2,28999,94,2018-08-19T16:00:00+00:00,1534694400,1,Match Finished,FT,503,Torino,497,AS Roma,0,1,AS Roma
3,3,28992,94,2018-08-19T18:30:00+00:00,1534703400,1,Match Finished,FT,500,Bologna,493,Spal,0,1,Spal
4,4,28994,94,2018-08-19T18:30:00+00:00,1534703400,1,Match Finished,FT,511,Empoli,490,Cagliari,2,0,Empoli
5,5,28996,94,2018-08-19T18:30:00+00:00,1534703400,1,Match Finished,FT,523,Parma,494,Udinese,2,2,draw
6,6,28998,94,2018-08-19T18:30:00+00:00,1534703400,1,Match Finished,FT,488,Sassuolo,505,Inter,1,0,Sassuolo
7,7,28991,94,2018-08-20T18:30:00+00:00,1534789800,1,Match Finished,FT,499,Atalanta,512,Frosinone,4,0,Atalanta
8,8,29005,94,2018-08-25T16:00:00+00:00,1535212800,2,Match Finished,FT,496,Juventus,487,Lazio,2,0,Juventus
9,9,29006,94,2018-08-25T18:30:00+00:00,1535221800,2,Match Finished,FT,492,Napoli,489,AC Milan,3,2,Napoli
10,10,29008,94,2018-08-26T16:00:00+00:00,1535299200,2,Match Finished,FT,493,Spal,523,Parma,1,0,Spal
11,11,29000,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,490,Cagliari,488,Sassuolo,2,2,draw
12,12,29001,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,502,Fiorentina,491,Chievo,6,1,Fiorentina
13,13,29002,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,512,Frosinone,500,Bologna,0,0,draw
14,14,29003,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,495,Genoa,511,Empoli,2,1,Genoa
15,15,29004,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,505,Inter,503,Torino,2,2,draw
16,16,29009,94,2018-08-26T18:30:00+00:00,1535308200,2,Match Finished,FT,494,Udinese,498,Sampdoria,1,0,Udinese
17,17,29007,94,2018-08-27T18:30:00+00:00,1535394600,2,Match Finished,FT,497,AS Roma,499,Atalanta,3,3,draw
18,18,29010,94,2018-08-31T18:30:00+00:00,1535740200,3,Match Finished,FT,489,AC Milan,497,AS Roma,2,1,AC Milan
19,19,29012,94,2018-09-01T16:00:00+00:00,1535817600,3,Match Finished,FT,500,Bologna,505,Inter,0,3,Inter
20,20,29016,94,2018-09-01T18:30:00+00:00,1535826600,3,Match Finished,FT,523,Parma,496,Juventus,1,2,Juventus
21,21,29014,94,2018-09-02T16:00:00+00:00,1535904000,3,Match Finished,FT,502,Fiorentina,494,Udinese,1,0,Fiorentina
22,22,29011,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,499,Atalanta,490,Cagliari,0,1,Cagliari
23,23,29013,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,491,Chievo,511,Empoli,0,0,draw
24,24,29015,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,487,Lazio,512,Frosinone,1,0,Lazio
25,25,29017,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,498,Sampdoria,492,Napoli,3,0,Sampdoria
26,26,29018,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,488,Sassuolo,495,Genoa,5,3,Sassuolo
27,27,29019,94,2018-09-02T18:30:00+00:00,1535913000,3,Match Finished,FT,503,Torino,493,Spal,1,0,Torino
28,28,29024,94,2018-09-15T13:00:00+00:00,1537016400,4,Match Finished,FT,505,Inter,523,Parma,0,1,Parma
29,29,29026,94,2018-09-15T16:00:00+00:00,1537027200,4,Match Finished,FT,492,Napoli,502,Fiorentina,1,0,Napoli
30,30,29022,94,2018-09-15T18:30:00+00:00,1537036200,4,Match Finished,FT,512,Frosinone,498,Sampdoria,0,5,Sampdoria
31,31,29027,94,2018-09-16T10:30:00+00:00,1537093800,4,Match Finished,FT,497,AS Roma,491,Chievo,2,2,draw
32,32,29023,94,2018-09-16T13:00:00+00:00,1537102800,4,Match Finished,FT,495,Genoa,500,Bologna,1,0,Genoa
33,33,29025,94,2018-09-16T13:00:00+00:00,1537102800,4,Match Finished,FT,496,Juventus,488,Sassuolo,2,1,Juventus
34,34,29029,94,2018-09-16T13:00:00+00:00,1537102800,4,Match Finished,FT,494,Udinese,503,Torino,1,1,draw
35,35,29021,94,2018-09-16T16:00:00+00:00,1537113600,4,Match Finished,FT,511,Empoli,487,Lazio,0,1,Lazio
36,36,29020,94,2018-09-16T18:30:00+00:00,1537122600,4,Match Finished,FT,490,Cagliari,489,AC Milan,1,1,draw
37,37,29028,94,2018-09-17T18:30:00+00:00,1537209000,4,Match Finished,FT,493,Spal,499,Atalanta,2,0,Spal
38,38,28997,94,2018-09-19T17:00:00+00:00,1537376400,1,Match Finished,FT,498,Sampdoria,502,Fiorentina,1,1,draw
39,39,29038,94,2018-09-21T18:30:00+00:00,1537554600,5,Match Finished,FT,488,Sassuolo,511,Empoli,3,1,Sassuolo
40,40,29036,94,2018-09-22T13:00:00+00:00,1537621200,5,Match Finished,FT,523,Parma,490,Cagliari,2,0,Parma
41,41,29033,94,2018-09-22T16:00:00+00:00,1537632000,5,Match Finished,FT,502,Fiorentina,493,Spal,3,0,Fiorentina
42,42,29037,94,2018-09-22T18:30:00+00:00,1537641000,5,Match Finished,FT,498,Sampdoria,505,Inter,0,1,Inter
43,43,29039,94,2018-09-23T10:30:00+00:00,1537698600,5,Match Finished,FT,503,Torino,492,Napoli,1,3,Napoli
44,44,29031,94,2018-09-23T13:00:00+00:00,1537707600,5,Match Finished,FT,500,Bologna,497,AS Roma,2,0,Bologna
45,45,29032,94,2018-09-23T13:00:00+00:00,1537707600,5,Match Finished,FT,491,Chievo,494,Udinese,0,2,Udinese
46,46,29035,94,2018-09-23T13:00:00+00:00,1537707600,5,Match Finished,FT,487,Lazio,495,Genoa,4,1,Lazio
47,47,29030,94,2018-09-23T16:00:00+00:00,1537718400,5,Match Finished,FT,489,AC Milan,499,Atalanta,2,2,draw
48,48,29034,94,2018-09-23T18:30:00+00:00,1537727400,5,Match Finished,FT,512,Frosinone,496,Juventus,0,2,Juventus
49,49,29044,94,2018-09-25T19:00:00+00:00,1537902000,6,Match Finished,FT,505,Inter,502,Fiorentina,2,1,Inter
50,50,29049,94,2018-09-26T17:00:00+00:00,1537981200,6,Match Finished,FT,494,Udinese,487,Lazio,1,2,Lazio
51,51,29040,94,2018-09-26T19:00:00+00:00,1537988400,6,Match Finished,FT,499,Atalanta,503,Torino,0,0,draw
52,52,29041,94,2018-09-26T19:00:00+00:00,1537988400,6,Match Finished,FT,490,Cagliari,498,Sampdoria,0,0,draw
53,53,29043,94,2018-09-26T19:00:00+00:00,1537988400,6,Match Finished,FT,495,Genoa,491,Chievo,2,0,Genoa
