,Unnamed: 0,fixture_id,league_id,event_date,event_timestamp,round,status,status_short,home_team_id,home_team_name,away_team_id,away_team_name,goals_home_team,goals_away_team,winner
0,0,9045,28,2017-08-19T16:00:00+00:00,1503158400,1,Match Finished,FT,496,Juventus,490,Cagliari,3,0,Juventus
1,1,9044,28,2017-08-19T18:45:00+00:00,1503168300,1,Match Finished,FT,504,Verona,492,Napoli,1,3,Napoli
2,2,9043,28,2017-08-20T16:00:00+00:00,1503244800,1,Match Finished,FT,499,Atalanta,497,AS Roma,0,1,AS Roma
3,3,9036,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,500,Bologna,503,Torino,1,1,draw
4,4,9037,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,501,Crotone,489,AC Milan,0,3,AC Milan
5,5,9038,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,505,Inter,502,Fiorentina,3,0,Inter
6,6,9039,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,487,Lazio,493,Spal,0,0,draw
7,7,9040,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,498,Sampdoria,506,Benevento,2,1,Sampdoria
8,8,9041,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,488,Sassuolo,495,Genoa,0,0,draw
9,9,9042,28,2017-08-20T18:45:00+00:00,1503254700,1,Match Finished,FT,494,Udinese,491,Chievo,1,2,Chievo
10,10,9034,28,2017-08-26T16:00:00+00:00,1503763200,2,Match Finished,FT,506,Benevento,500,Bologna,0,1,Bologna
11,11,9035,28,2017-08-26T16:00:00+00:00,1503763200,2,Match Finished,FT,495,Genoa,496,Juventus,2,4,Juventus
12,12,9033,28,2017-08-26T18:45:00+00:00,1503773100,2,Match Finished,FT,497,AS Roma,505,Inter,1,3,Inter
13,13,9032,28,2017-08-27T16:00:00+00:00,1503849600,2,Match Finished,FT,503,Torino,488,Sassuolo,3,0,Torino
14,14,9026,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,489,AC Milan,490,Cagliari,2,1,AC Milan
15,15,9027,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,491,Chievo,487,Lazio,1,2,Lazio
16,16,9028,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,501,Crotone,504,Verona,0,0,draw
17,17,9029,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,502,Fiorentina,498,Sampdoria,1,2,Sampdoria
18,18,9030,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,492,Napoli,499,Atalanta,3,1,Napoli
19,19,9031,28,2017-08-27T18:45:00+00:00,1503859500,2,Match Finished,FT,493,Spal,494,Udinese,3,2,Spal
20,20,9025,28,2017-09-09T16:00:00+00:00,1504972800,3,Match Finished,FT,496,Juventus,491,Chievo,3,0,Juventus
21,21,9024,28,2017-09-10T10:30:00+00:00,1505039400,3,Match Finished,FT,505,Inter,493,Spal,2,0,Inter
22,22,9020,28,2017-09-10T13:00:00+00:00,1505048400,3,Match Finished,FT,499,Atalanta,488,Sassuolo,2,1,Atalanta
23,23,9021,28,2017-09-10T13:00:00+00:00,1505048400,3,Match Finished,FT,490,Cagliari,501,Crotone,1,0,Cagliari
24,24,9022,28,2017-09-10T13:00:00+00:00,1505048400,3,Match Finished,FT,494,Udinese,495,Genoa,1,0,Udinese
25,25,9023,28,2017-09-10T13:00:00+00:00,1505048400,3,Match Finished,FT,504,Verona,502,Fiorentina,0,5,Fiorentina
26,26,9019,28,2017-09-10T14:00:00+00:00,1505052000,3,Match Finished,FT,487,Lazio,489,AC Milan,4,1,Lazio
27,27,9018,28,2017-09-10T16:00:00+00:00,1505059200,3,Match Finished,FT,506,Benevento,503,Torino,0,1,Torino
28,28,9017,28,2017-09-10T18:45:00+00:00,1505069100,3,Match Finished,FT,500,Bologna,492,Napoli,0,3,Napoli
29,29,9016,28,2017-09-16T13:00:00+00:00,1505566800,4,Match Finished,FT,501,Crotone,505,Inter,0,2,Inter
30,30,9015,28,2017-09-16T16:00:00+00:00,1505577600,4,Match Finished,FT,502,Fiorentina,500,Bologna,2,1,Fiorentina
31,31,9014,28,2017-09-16T18:45:00+00:00,1505587500,4,Match Finished,FT,497,AS Roma,504,Verona,3,0,AS Roma
32,32,9013,28,2017-09-17T10:30:00+00:00,1505644200,4,Match Finished,FT,488,Sassuolo,496,Juventus,1,3,Juventus
33,33,9009,28,2017-09-17T13:00:00+00:00,1505653200,4,Match Finished,FT,489,AC Milan,494,Udinese,2,1,AC Milan
34,34,9010,28,2017-09-17T13:00:00+00:00,1505653200,4,Match Finished,FT,492,Napoli,506,Benevento,6,0,Napoli
35,35,9011,28,2017-09-17T13:00:00+00:00,1505653200,4,Match Finished,FT,493,Spal,490,Cagliari,0,2,Cagliari
