,player_id,player_name,firstname,lastname,position,nationality,team_id,team_name,appearences,minutes_played,total_goals,assists_goals,conceded_goals,saves_goals,total_shots,on_shots,won_penalty,commited_penalty,success_penalty,missed_penalty,saved_penalty,yellow_cards,second_yellow_cards,red_cards
0,2297,G. Higuaín,Gonzalo Gerardo,Higuaín,Attacker,Argentina,492,Napoli,35,2978,36,2.0,,,182.0,83.0,1.0,,3.0,0.0,,2,1,0
1,875,P. Dybala,Paulo Bruno,Exequiel Dybala,Attacker,Argentina,496,Juventus,34,2464,19,9.0,,,107.0,43.0,1.0,,6.0,0.0,,1,0,0
2,1706,C. Bacca,Carlos Arturo,Bacca Ahumada,Attacker,Colombia,489,AC Milan,38,3170,18,2.0,,,77.0,37.0,1.0,,2.0,0.0,,2,0,0
3,216,M. Icardi,Mauro Emanuel,Icardi Rivero,Attacker,Argentina,505,Inter,33,2600,16,4.0,,,57.0,26.0,1.0,,1.0,1.0,,1,0,0
4,306,Mohamed Salah,Mohamed,Salah Ghaly,Attacker,Egypt,497,AS Roma,34,2739,14,6.0,,,72.0,31.0,,,0.0,0.0,,2,1,0
5,30573,L. Pavoletti,Leonardo,Pavoletti,Attacker,Italy,495,Genoa,25,1916,14,3.0,,,67.0,29.0,,,0.0,0.0,,3,0,1
6,32138,Massimo Maccarone,Massimo,Maccarone,Attacker,Italy,511,Empoli,37,2765,13,5.0,,,81.0,36.0,,,1.0,0.0,,4,0,0
7,30434,J. Iličić,Josip,Iličić,Midfielder,Slovenia,502,Fiorentina,30,1924,13,5.0,,,74.0,30.0,1.0,,7.0,0.0,,2,0,0
8,57,N. Kalinić,Nikola,Kalinić,Attacker,Croatia,502,Fiorentina,36,2567,12,3.0,,,72.0,30.0,3.0,,0.0,1.0,,5,0,0
9,12795,E. Martins,Eder,Citadin Martins,Attacker,Italy,498,Sampdoria,19,1646,12,,,,21.0,7.0,,,0.0,0.0,,2,0,0
10,331,L. Insigne,Lorenzo,Insigne,Attacker,Italy,492,Napoli,37,2624,12,10.0,,,134.0,41.0,,,2.0,0.0,,2,0,0
11,30509,A. Belotti,Andrea,Belotti,Attacker,Italy,503,Torino,35,2597,12,4.0,,,70.0,29.0,6.0,,4.0,0.0,,4,0,0
12,878,Mario Mandžukić,Mario,Mandžukić,Attacker,Croatia,496,Juventus,27,2050,10,4.0,,,37.0,16.0,2.0,,0.0,0.0,,5,0,0
13,91419,Alberto Gilardino,Alberto,Gilardino,Attacker,Italy,522,Palermo,33,2358,10,,,,,,,,,,,4,0,0
14,872,Miralem Pjanić,Miralem,Pjanić,Midfielder,Bosnia and Herzegovina,497,AS Roma,33,2653,10,12.0,,,68.0,28.0,,,1.0,0.0,,11,1,0
15,202,A. Candreva,Antonio,Candreva,Midfielder,Italy,487,Lazio,30,2204,10,3.0,,,90.0,24.0,1.0,,6.0,2.0,,4,0,0
16,31093,F. Dionisi,Federico,Dionisi,Attacker,Italy,512,Frosinone,32,2450,9,4.0,,,83.0,25.0,1.0,,1.0,0.0,,12,0,0
17,31092,D. Ciofani,Daniel,Ciofani,Attacker,Italy,512,Frosinone,37,2912,9,1.0,,,76.0,26.0,,,2.0,0.0,,1,0,0
18,30483,R. Soriano,Roberto,Soriano,Midfielder,Italy,498,Sampdoria,37,2829,8,4.0,,,53.0,23.0,,,0.0,0.0,,7,0,0
19,2495,Duván Esteban Zapata Banguera,Duván Esteban,Zapata Banguera,Attacker,Colombia,494,Udinese,25,1512,8,2.0,,,53.0,15.0,,1.0,0.0,0.0,,5,0,0
