,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
575,4403,D,CHABOT,Sampdoria,8,5.88,6.06,1,0,0,0,0,0,0,0,1,1,0
578,4406,D,TRIPALDELLI,Sassuolo,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
579,4407,D,IGOR,Fiorentina,26,5.75,5.62,0,0,0,0,0,0,1,0,9,0,0
580,4409,D,RRAHMANI,Verona,36,5.94,5.9,0,0,0,0,0,0,1,0,5,0,0
583,4412,D,RODRIGO BECAO,Udinese,29,5.88,5.84,1,0,0,0,0,0,0,0,8,0,0
585,4414,D,DENSWIL,Bologna,26,5.38,5.16,0,0,0,0,0,0,0,0,5,1,1
588,4420,D,BOCCHETTI,Verona,5,5.9,5.7,0,0,0,0,0,0,0,0,2,0,0
589,4421,D,AUGELLO,Sampdoria,17,6.06,6.12,0,0,0,0,0,0,2,0,2,0,0
590,4422,D,TOMIYASU,Bologna,29,5.83,5.9,1,0,0,0,0,0,3,0,8,0,0
594,4426,D,TOLJAN,Sassuolo,29,5.91,5.95,1,0,0,0,0,0,2,0,8,0,0
596,4428,D,DE LIGT,Juventus,29,6.05,6.38,4,0,0,0,0,0,0,0,5,0,0
597,4429,D,CHANCELLOR,Brescia,26,5.73,5.94,3,0,0,0,0,0,0,0,3,0,1
599,4432,D,OKOLI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
600,4433,D,ZORTEA,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
603,4438,D,CASSANDRO,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
606,4442,D,CISTANA,Brescia,21,5.79,5.74,1,0,0,0,0,0,0,0,6,1,0
607,4443,D,CURCIO,Brescia,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
608,4444,D,SEMPRINI,Brescia,12,5.7,5.9,1,0,0,0,0,0,0,0,2,0,0
617,4454,D,PINNA,Cagliari,1,6.5,6.0,0,0,0,0,0,0,0,0,1,0,0
620,4458,D,CANDELA,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
623,4461,D,ZAPPA,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
629,4467,D,JORGE SILVA,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
632,4470,D,CALDERONI,Lecce,26,5.71,6.02,3,0,0,0,0,0,2,0,7,0,0
633,4471,D,COSENZA,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
634,4472,D,MECCARIELLO,Lecce,14,5.73,5.95,1,0,0,0,0,0,0,0,2,0,0
635,4473,D,RICCARDI D,Lecce,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
641,4480,D,MINELLI,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
642,4481,D,BOUAH,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
647,4487,D,FERIGRA,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
648,4488,D,GILLI,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
652,4492,D,BALKOVEC,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
653,4493,D,DAWIDOWICZ,Verona,15,5.9,5.9,1,0,0,0,0,0,0,0,2,2,0
654,4494,D,EMPEREUR,Verona,13,5.95,5.82,0,0,0,0,0,0,0,0,3,0,0
655,4495,D,KUMBULLA,Verona,25,6.15,6.12,1,0,0,0,0,0,0,0,5,1,0
656,4496,D,VITALE L,Verona,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
661,4502,D,GALLO,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
662,4504,D,MANGRAVITI,Brescia,13,5.42,5.35,0,0,0,0,0,0,0,0,2,0,0
667,4509,D,CIPRIANO,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
669,4511,D,DUARTE,Milan,6,5.6,5.4,0,0,0,0,0,0,0,0,2,0,0
674,4516,D,SKRTEL,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
677,4519,D,CETIN,Roma,6,5.8,5.4,0,0,0,0,0,0,0,0,2,1,0
679,4521,D,MULDUR,Sassuolo,24,6.02,6.32,2,0,0,0,0,0,2,0,4,0,0
684,4526,D,ARANA,Atalanta,4,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
686,4528,D,GASOLINA WESLEY,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
687,4529,D,ANKERSEN,Genoa,19,5.84,5.84,0,0,0,0,0,0,1,0,2,0,0
688,4530,D,KYRIAKOPOULOS,Sassuolo,26,6.0,6.0,0,0,0,0,0,0,2,0,4,0,0
700,4881,D,CZYBORRA,Atalanta,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
706,4887,D,BELLANOVA,Atalanta,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
707,4888,D,SUTALO,Atalanta,7,5.88,5.75,0,0,0,0,0,0,0,0,1,0,0
710,4891,D,SOUMAORO,Genoa,8,5.88,6.12,1,0,0,0,0,0,0,0,2,0,0
713,4895,D,YOSHIDA,Sampdoria,14,5.89,5.93,0,0,0,0,0,0,0,1,1,0,0
715,4897,D,PIROLA,Inter,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
716,4899,D,SINGO,Torino,4,6.33,7.33,1,0,0,0,0,0,0,0,0,0,0
718,4917,D,PRODL,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
720,4920,D,PAPETTI,Brescia,11,5.41,5.45,1,0,0,0,0,0,0,0,5,0,0
723,4925,D,CARBONI,Cagliari,7,5.5,5.0,0,0,0,0,0,0,0,0,2,2,0
732,4934,D,LOVATO,Verona,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
735,4937,D,FALBO,Lazio,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
740,4942,D,ISKRA,SPAL,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
742,4944,D,BONINI,Bologna,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
743,4945,D,CALAFIORI,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
744,4946,D,FRABOTTA,Juventus,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
748,4950,D,DALLE MURA,Fiorentina,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
749,4951,D,PICCININI,Sassuolo,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
750,4952,D,MONTERISI,Lecce,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
752,4954,D,CELESIA,Torino,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
