,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
403,2327,A,STEPINSKI,Verona,21,5.88,6.46,3,0,0,0,0,0,1,0,3,1,0
405,2333,A,PEDRO NETO,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
418,2475,A,SANCHEZ,Inter,22,6.44,7.5,3,0,0,1,1,0,6,2,2,1,0
423,2530,A,IBRAHIMOVIC,Milan,18,6.53,8.17,8,0,0,3,2,1,3,0,1,0,0
424,2531,A,LUKAKU,Inter,36,6.42,8.33,17,0,0,6,6,0,1,0,2,0,0
427,2610,A,RONALDO,Juventus,33,6.56,9.33,19,0,0,13,12,1,3,0,3,0,0
435,2657,A,ANTONUCCI,Roma,2,5.75,5.5,0,0,0,0,0,0,0,0,1,0,0
440,2719,A,BARROW,Bologna,25,6.14,7.28,8,0,0,2,1,1,5,0,1,0,0
444,2732,A,STIJEPOVIC,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
449,2743,A,SANTANDER,Bologna,24,5.61,5.61,0,0,0,1,1,0,0,0,6,0,0
456,2756,A,PIATEK,Milan,18,5.56,6.19,1,0,0,3,3,0,0,0,1,0,0
461,2762,A,KOUAME',Fiorentina,18,6.31,7.44,6,0,0,0,0,0,3,0,1,0,0
462,2764,A,MARTINEZ L.,Inter,35,6.21,7.29,12,0,0,3,2,1,3,0,7,1,0
468,2773,A,SPROCATI,Parma,20,5.77,6.0,1,0,0,0,0,0,0,0,0,0,0
483,2794,A,MICIN,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
489,2805,A,BARAYE,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
490,2807,A,DA CRUZ,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
491,2808,A,FREDIANI,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
496,2819,A,CAPUTO,Sassuolo,36,6.32,8.31,19,0,0,2,2,0,6,0,3,0,0
498,2826,A,PUSSETTO,Udinese,12,5.95,6.2,1,0,0,0,0,0,0,0,1,0,0
500,2832,A,BOGA,Sassuolo,34,6.15,7.21,11,0,0,0,0,0,2,0,0,0,0
504,2839,A,SOTTIL,Fiorentina,18,5.83,5.75,0,0,0,0,0,0,0,0,3,0,0
505,2841,A,VLAHOVIC,Fiorentina,30,5.91,6.46,5,0,0,1,1,0,0,0,4,1,0
506,2842,A,ZANIMACCHIA,Juventus,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
507,2844,A,COLIDIO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
509,2853,A,MONCINI,SPAL,4,5.33,5.33,0,0,0,0,0,0,0,0,0,0,0
515,2868,A,RIGONI E,Sampdoria,8,5.64,5.64,0,0,0,0,0,0,0,1,2,0,0
