,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
192,600,C,VERRE,Verona,32,5.95,6.25,1,0,0,2,2,0,2,0,4,0,0
198,621,C,ROMULO,Brescia,23,5.8,6.0,1,0,0,0,0,0,3,0,3,0,0
199,627,C,IONITA,Cagliari,34,5.7,5.66,0,0,0,0,0,0,2,0,6,0,0
201,631,C,VIVIANI,SPAL,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
202,632,C,ZACCAGNI,Verona,34,6.11,6.36,2,0,0,0,0,0,5,0,5,0,0
203,633,C,FARES,SPAL,8,5.56,5.44,0,0,0,0,0,0,0,0,2,0,0
208,644,C,PULGAR,Fiorentina,37,6.09,6.64,0,0,0,8,7,1,0,6,9,0,0
209,645,C,MILINKOVIC-SAVIC,Lazio,37,6.19,6.72,7,0,0,0,0,0,3,0,9,0,0
214,661,C,INIGUEZ,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
216,666,C,MACHIN,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
217,669,C,DONSAH,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
222,697,C,CUADRADO,Juventus,33,6.05,6.18,2,0,0,0,0,0,3,0,7,1,0
223,704,C,PERISIC,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
224,706,C,ANSALDI,Torino,27,6.08,6.52,4,0,0,0,0,0,4,0,9,0,0
226,713,C,DZEMAILI,Bologna,14,5.96,6.21,1,0,0,0,0,0,1,0,2,0,0
232,779,C,CRISTANTE,Roma,26,5.77,5.81,1,0,0,0,0,0,2,0,7,1,0
236,788,C,FREULER,Atalanta,31,6.05,6.23,2,0,0,0,0,0,1,0,3,0,0
240,801,C,GAGLIARDINI,Inter,24,5.94,6.33,4,0,0,0,0,0,0,0,5,0,0
242,813,C,BALIC,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
245,827,C,LOCATELLI,Sassuolo,33,6.24,6.17,0,0,0,0,0,0,4,0,9,0,1
249,1850,C,KESSIE',Milan,35,5.8,6.1,2,0,0,2,2,0,0,0,3,0,0
251,1857,C,DI FRANCESCO F.,SPAL,20,5.91,6.15,2,0,0,0,0,0,0,0,4,0,0
252,1858,C,KREJCI,Bologna,14,5.86,6.0,1,0,0,0,0,0,0,0,2,0,0
253,1859,C,NAGY,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
258,1870,C,BARELLA,Inter,27,6.07,6.09,1,0,0,0,0,0,3,0,11,0,0
259,1871,C,DEIOLA,Lecce,11,5.8,6.05,1,0,0,0,0,0,1,0,3,0,0
260,1872,C,DESSENA,Brescia,24,5.71,5.81,2,0,0,0,0,0,0,0,5,1,0
262,1875,C,MUNARI,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
270,1933,C,MANDRAGORA,Udinese,26,5.8,5.84,0,0,0,0,0,0,2,0,2,0,0
273,1936,C,MINALA,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
279,1976,C,MAZZITELLI,Sassuolo,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
280,1978,C,SENSI,Inter,12,6.29,7.04,3,0,0,0,0,0,0,1,2,0,0
283,1982,C,PARIGINI,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
285,1986,C,FOFANA,Udinese,32,6.19,6.62,3,0,0,0,0,0,7,0,4,0,0
286,1987,C,JANKTO,Sampdoria,30,6.0,6.2,2,0,0,0,0,0,4,0,8,0,0
287,1995,C,DJURICIC,Sassuolo,29,6.15,6.7,5,0,0,0,0,0,3,0,6,0,0
288,1996,C,DE PAUL,Udinese,34,6.29,6.96,7,0,0,0,0,0,2,3,5,1,0
291,2002,C,CHIESA,Fiorentina,34,6.31,7.15,9,0,0,2,1,1,5,0,7,0,0
292,2003,C,MURGIA,SPAL,25,5.62,5.6,0,0,0,0,0,0,1,0,3,0,0
295,2008,C,LINETTY,Sampdoria,28,5.96,6.43,4,0,0,0,0,0,3,0,4,0,0
296,2009,C,LUKIC,Torino,30,5.72,5.74,1,0,0,0,0,0,1,0,5,1,0
297,2011,C,MIGUEL VELOSO,Verona,34,6.06,6.32,3,0,0,0,0,0,0,3,6,0,0
302,2057,C,GUSTAFSON,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
305,2065,C,PRAET,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
308,2075,C,CRISTOFORO,Fiorentina,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
309,2076,C,ROG,Cagliari,30,6.1,6.07,1,0,0,0,0,0,1,0,10,0,0
310,2077,C,PASALIC,Atalanta,35,6.15,6.88,9,0,0,0,0,0,3,0,6,0,1
311,2078,C,JOAO MARIO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
313,2085,C,LUIS ALBERTO,Lazio,36,6.46,7.31,5,0,0,1,1,0,14,1,5,0,0
319,2106,C,MOROSINI,Brescia,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
320,2116,C,FARAGO',Cagliari,21,5.82,5.84,1,0,0,0,0,0,1,0,3,0,1
327,2144,C,COULIBALY,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
330,2157,C,BIANCU,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
332,2161,C,HAAS,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
336,2166,C,BENTANCUR,Juventus,30,6.12,6.21,0,0,0,0,0,0,5,2,9,0,0
341,2172,C,BARAK,Lecce,24,5.89,6.18,2,0,0,0,0,0,1,0,1,0,0
350,2187,C,BORINI,Verona,16,5.97,6.43,2,0,0,1,1,0,0,0,2,1,0
351,2188,C,MARUSIC,Lazio,15,6.14,6.54,2,0,0,0,0,0,1,0,3,0,0
352,2191,C,INGELSSON,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
354,2193,C,GONALONS,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
