,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,487,Lazio,38,21,9,8,89,49,2.3,1.3
1,505,Inter,38,20,12,6,66,30,1.7,0.8
2,488,Sassuolo,38,11,10,17,29,59,0.8,1.6
3,497,AS Roma,38,23,8,7,61,28,1.6,0.7
4,489,AC Milan,38,18,10,10,56,42,1.5,1.1
5,502,Fiorentina,38,16,9,13,54,46,1.4,1.2
6,490,Cagliari,38,11,6,21,33,61,0.9,1.6
7,499,Atalanta,38,16,12,10,57,39,1.5,1.0
8,491,Chievo,38,10,10,18,36,59,0.9,1.6
9,506,Benevento,38,6,3,29,33,84,0.9,2.2
10,492,Napoli,38,28,7,3,77,29,2.0,0.8
11,501,Crotone,38,9,8,21,40,66,1.1,1.7
12,493,Spal,38,8,14,16,39,59,1.0,1.6
13,498,Sampdoria,38,16,6,16,56,60,1.5,1.6
14,494,Udinese,38,12,4,22,48,63,1.3,1.7
15,500,Bologna,38,11,6,21,40,52,1.1,1.4
16,495,Genoa,38,11,8,19,33,43,0.9,1.1
17,503,Torino,38,13,15,10,54,46,1.4,1.2
18,496,Juventus,38,30,5,3,86,24,2.3,0.6
19,504,Verona,38,7,4,27,30,78,0.8,2.1
