,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,504,Verona,38,5,13,20,34,63,0.9,1.7
1,497,AS Roma,38,23,11,4,83,41,2.2,1.1
2,487,Lazio,38,15,9,14,52,52,1.4,1.4
3,500,Bologna,38,11,9,18,33,45,0.9,1.2
4,496,Juventus,38,29,4,5,75,20,2.0,0.5
5,494,Udinese,38,10,9,19,35,60,0.9,1.6
6,511,Empoli,38,12,10,16,40,49,1.1,1.3
7,491,Chievo,38,13,11,14,43,45,1.1,1.2
8,502,Fiorentina,38,18,10,10,60,42,1.6,1.1
9,489,AC Milan,38,15,12,11,49,43,1.3,1.1
10,512,Frosinone,38,8,7,23,35,76,0.9,2.0
11,503,Torino,38,12,9,17,52,55,1.4,1.4
12,505,Inter,38,20,7,11,50,38,1.3,1.0
13,499,Atalanta,38,11,12,15,41,47,1.1,1.2
14,522,Palermo,38,10,9,19,38,65,1.0,1.7
15,495,Genoa,38,13,7,18,45,48,1.2,1.3
16,498,Sampdoria,38,10,10,18,48,61,1.3,1.6
17,519,Carpi,38,9,11,18,37,57,1.0,1.5
18,488,Sassuolo,38,16,13,9,49,40,1.3,1.1
19,492,Napoli,38,25,7,6,80,32,2.1,0.8
