,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,504,Verona,38,16,6,16,62,68,1.6,1.8
1,489,AC Milan,38,16,9,13,57,49,1.5,1.3
2,498,Sampdoria,38,12,9,17,48,62,1.3,1.6
3,496,Juventus,38,33,3,2,80,23,2.1,0.6
4,505,Inter,38,15,15,8,62,39,1.6,1.0
5,495,Genoa,38,11,11,16,41,50,1.1,1.3
6,490,Cagliari,38,9,12,17,34,53,0.9,1.4
7,499,Atalanta,38,15,5,18,43,51,1.1,1.3
8,487,Lazio,38,15,11,12,54,54,1.4,1.4
9,494,Udinese,38,12,8,18,46,57,1.2,1.5
10,868,Livorno,38,6,7,25,39,77,1.0,2.0
11,497,AS Roma,38,26,7,5,72,25,1.9,0.7
12,492,Napoli,38,23,9,6,77,39,2.0,1.0
13,500,Bologna,38,5,14,19,28,58,0.7,1.5
14,523,Parma,38,15,13,10,58,46,1.5,1.2
15,491,Chievo,38,10,6,22,34,54,0.9,1.4
16,503,Torino,38,15,12,11,58,48,1.5,1.3
17,488,Sassuolo,38,9,7,22,43,72,1.1,1.9
18,502,Fiorentina,38,19,8,11,65,44,1.7,1.2
19,1580,Catania,38,8,8,22,34,66,0.9,1.7
