,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,491,Chievo,38,10,13,15,28,41,0.7,1.1
1,496,Juventus,38,26,9,3,72,24,1.9,0.6
2,497,AS Roma,38,19,13,6,54,31,1.4,0.8
3,502,Fiorentina,38,18,10,10,61,46,1.6,1.2
4,499,Atalanta,38,7,16,15,38,57,1.0,1.5
5,504,Verona,38,11,13,14,49,65,1.3,1.7
6,489,AC Milan,38,13,13,12,56,50,1.5,1.3
7,487,Lazio,38,21,6,11,71,38,1.9,1.0
8,509,Cesena,38,4,12,22,36,73,0.9,1.9
9,523,Parma,38,6,8,24,33,75,0.9,2.0
10,495,Genoa,38,16,11,11,62,47,1.6,1.2
11,492,Napoli,38,18,9,11,70,54,1.8,1.4
12,522,Palermo,38,12,13,13,53,55,1.4,1.4
13,498,Sampdoria,38,13,17,8,48,42,1.3,1.1
14,488,Sassuolo,38,12,13,13,49,57,1.3,1.5
15,490,Cagliari,38,8,10,20,48,68,1.3,1.8
16,503,Torino,38,14,12,12,48,45,1.3,1.2
17,505,Inter,38,14,13,11,59,48,1.6,1.3
18,494,Udinese,38,10,11,17,43,56,1.1,1.5
19,511,Empoli,38,8,18,12,46,52,1.2,1.4
