Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
3,P,RADUNOVIC,Verona,3,5.83,3.0,0,8,0,0,0,0,0,0,1,0,0
4,P,SPORTIELLO,Atalanta,6,6.17,5.33,0,5,0,0,0,0,0,0,0,0,0
5,D,ALMICI,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
11,D,CONTI,Milan,23,5.69,5.6,2,0,0,0,0,0,2,0,8,0,0
15,D,MASIELLO,Genoa,22,5.8,5.73,0,0,0,0,0,0,1,0,5,0,0
